Abbie
Nina
Nirvana
Nitka
Niunia
Niuniek
Nora
Noran
Noreczka
Norek
Nosek
Noxa
Nuka
Nunu
Nusia
Nuśka
Nuta
Nutka
Obelix
Odyn
Odys
Ofelia
Ofra
Olaf
Olivia
Olivier
Opal
Opel
Oreo
Orest
Orio
Orzech
Oskar
Ozzy
Pablo
Paco
Pako
Paksa
Paku
Panda
Parys
Pasja
Pasza
Pączuś
Pchełka
Pedro
Pedros
Peggy
Pele
Pepe
Peppa
Pepper
Pepsi
Perełka
Perla
Perła
Persil
Perszing
Pestka
Piegusek
Pięknota
Piko
Piksel
Pikuś
Pimpek
Pimpu
Pimpuś
Piorun
Pipi
Piracik
Pirat
Pixel
Plamcia
Plamka
Platon
Plysinka
Płoszka
Poja
Pojka
Pola
Poldek
Poli
Polka
Polly
Pompon
Poppi
Poro
Porter
Portos
Poziomka
Prążek
Pretty
Prezes
Prima
Princess
Prosiałka
Protos
Prymus
Przylepa
Przytulas
Psikus
Psotka
Ptysia
Ptyś
Pufi
Puha
Pumba
Punia
Purpurek
Pusia
Pusio
Puszek
Pypeć
Pysia
Pysiek
Pyśka
Pyza
Queen
Radzia
Radża
Rafa
Rafi
Rafik
Rafka
Ragnar
Ralf
Rambo
Ramos
Rampal
Ramzes
Ramzi
Rangar
Rasti
Rasty
Ravi
Raya
Rayli
Regis
Reja
Reks
Reksio
Reksiu
Remy
Resco
Reszka
Ricardo
Ricci
Ricco
Ricky
Rico
Riko
Riley
Rino
Rita
Riva
Roben
Robinek
Robinson
Rocco
Rocky
Rodo
Rojter
Roki
Roksa
Roksi
Rokuś
Roni
Roofi
Rosa
Rosita
Roulett
Roxi
Rozi
Ruben
Ruby
Ruda
Rudi
Rudy
Rudzisława
Rufi
Rufinka
Rufuska
Rumpel
Rusia
Russell
Rysia
Ryś
Saba
Saga
Sajgon
Saki
Sali
Sallem
Sally
Salma
Salusia
Samba
Sami
Samir
Sandy
Santa
Santi
Sasuke
Saszka
Scarlet
Scooby
Scott
Scotti
Sejka
Selena
Senshi
Sezam
Shadow
Shakira
Shanti
Sheela
Sherlon
Sherman
Shila
Shiro
Shogun
Shrek
Shuma
Siasiuk
Siena
Sigo
Sigur
Silver
Simba
Siri
Sissi
Siwy
Skalpel
Skoda
Skoti
Słodziak
Snajper
Snickers
Snoopy
Snufi
Sofik
Solo
Sonia
Spaik
Spajki
Spajkuś
Spidy
Spontan
Stanly
Stark
Stella
Steward
Stiff
Stiuard
Stiwi
Strzała
Stuard
Stuart
Sueno
Sunia
Sushi
Suzi
Suzie
Sven
Symuś
Szaga
Szanti
Szara
Szarek
Szarik
Szaruś
Szasta
Szczepan
Szczurko
Szejk
Szerin
Szerpa
Szeryf
Szikszura
Szila
Szira
Szubert
Szylcia
Szymuś
Szyszka
Ślepek
Śnieżek
Śnieżka
Śnieżuś
Śnieżynka
Śpioch
Świrusek
Tabasco
Tafi
Tago
Taja
Tajfun
Tajga
TakaHiro
Tako
Talon
Tamagotchi
Tami
Tango
Tantos
Tapsik
Tara
Tarek
Tashi
Tasia
Tasman
Tatar
Teddy
Tedi
Tedik
Tejena
Tekila
Teofil
Teoś
Tequila
Tesla
Tessi
Tessie
Theo
Thor
Tibi
Tifi
Tiger
Tigera
Tikka
Tila
Timi
Timo
Timon
Tina
Tini
Titi
Tobi
Toby
Toffik
Tofik
Togo
Tokki
Tołdi
Tomi
Toni
Tosiak
Tosiek
Toto
Toudi
Trezor
Trikaczu
Triss
Troluś
Tropek
Trufel
Trufla
Trusia
Tula
Tuptuś
Tusia
Tutuś
Tygrys
Typek
Tysia
Tyson
Uchaty
Uffik
Ukulele
Umka
Uncja
Urwis
Uszata
Uszek
Vanessa
Vanilia
Vansik
Velvetka
Vera
Vexy
Veyron
Waderek
Wafel
Wanda
Wedel
Weekend
Wega
Wena
Wenus
Węgielek
Widi
Wiera
Wiewiór
Wifi
Wika
Wiko
William
Willy
Wiwa
Wiwi
Woolfi
Xawier
Xeena
Xela
Xena
Xenon
Yenka
Yogi
Yoki
Yoko
Yorki
Yoshi
Yuki
Yuppie
Zadzior
Zaki
Zara
Zawisza
Zefir
Zein
Zetka
Zeus
Zewik
Ziomek
Zoja
Zola
Zołi
Zołza
Zora
Zorin
Zorka
Zoya
Zula
Zulus
Żabka
Żak
Żelek
Żelka
Żeton
Żuk
Żwiro
Żyta
Indyk
Mili
